dialogID,ppl,position,type,model
13,3.31126008051769,5,compressed,LSTM
13,4.93592500702753,6,compressed,LSTM
13,5.58182775441296,7,compressed,LSTM
13,4.36295377635458,8,compressed,LSTM
13,1.89327788505518,9,compressed,LSTM
13,2.59091565198215,10,compressed,LSTM
13,2.57096920137086,11,compressed,LSTM
13,2.12234290180163,12,compressed,LSTM
13,2.84848632399048,13,compressed,LSTM
13,2.66285021487027,14,compressed,LSTM
13,4.51118921350309,15,compressed,LSTM
13,5.64578622905316,16,compressed,LSTM
13,3.99966671994887,17,compressed,LSTM
13,5.85630162267334,18,compressed,LSTM
13,6.26074437335468,19,compressed,LSTM
14,5.49173878823659,0,compressed,LSTM
14,6.80205494840301,1,compressed,LSTM
15,4.68616613000701,0,compressed,LSTM
15,3.15098308826204,1,compressed,LSTM
15,4.54482656668729,2,compressed,LSTM
15,4.25182979011031,3,compressed,LSTM
15,3.05250700120246,4,compressed,LSTM
15,2.8707697851774,5,compressed,LSTM
15,4.7440743259245,6,compressed,LSTM
15,6.56165430677917,7,compressed,LSTM
15,6.89057600175689,8,compressed,LSTM
15,4.19380590064169,9,compressed,LSTM
15,4.96634136396317,10,compressed,LSTM
15,4.18372423680523,11,compressed,LSTM
15,6.44581431581065,12,compressed,LSTM
15,4.44908647524804,13,compressed,LSTM
15,2.9957398054231,14,compressed,LSTM
15,3.87118001812612,15,compressed,LSTM
15,4.45962630244114,16,compressed,LSTM
16,3.13426787957978,0,compressed,LSTM
16,2.99973828731866,1,compressed,LSTM
16,4.24847166471504,2,compressed,LSTM
16,3.00260328874028,3,compressed,LSTM
16,3.18885148587556,4,compressed,LSTM
16,4.03659966263202,5,compressed,LSTM
16,3.1369711646754,6,compressed,LSTM
16,3.57230016074614,7,compressed,LSTM
16,2.95463879331924,8,compressed,LSTM
16,2.99463115297364,9,compressed,LSTM
16,2.97992769667178,10,compressed,LSTM
16,2.61422929361097,11,compressed,LSTM
16,4.86571658068567,12,compressed,LSTM
16,4.09047120889014,13,compressed,LSTM
16,3.9908770955775,14,compressed,LSTM
16,3.58039751903235,15,compressed,LSTM
16,3.91691171849039,16,compressed,LSTM
16,5.27048112554961,17,compressed,LSTM
16,4.4357427313754,18,compressed,LSTM
16,4.05393544715928,19,compressed,LSTM
16,3.05070629094639,20,compressed,LSTM
16,3.03596310666378,21,compressed,LSTM
16,3.49259843048343,22,compressed,LSTM
16,3.80463895149611,23,compressed,LSTM
16,2.1918049183516,24,compressed,LSTM
16,3.89209199204177,25,compressed,LSTM
16,3.3474150281066,26,compressed,LSTM
16,3.24985753281744,27,compressed,LSTM
16,2.94581162589233,28,compressed,LSTM
16,2.3323464784275,29,compressed,LSTM
16,3.70367634629607,30,compressed,LSTM
16,3.8060955738739,31,compressed,LSTM
16,3.35163876711406,32,compressed,LSTM
16,3.32067954457297,33,compressed,LSTM
16,4.23370680207321,34,compressed,LSTM
16,5.12490506251406,35,compressed,LSTM
17,6.59806436565445,0,compressed,LSTM
17,9.15381683522035,1,compressed,LSTM
17,8.69944532435693,2,compressed,LSTM
17,7.27247480026157,3,compressed,LSTM
17,5.62657101286299,4,compressed,LSTM
17,6.7512734724391,5,compressed,LSTM
17,6.24870706503789,6,compressed,LSTM
17,7.47462141822888,7,compressed,LSTM
17,8.6368695075951,8,compressed,LSTM
17,7.32645780034685,9,compressed,LSTM
17,6.45985982915309,10,compressed,LSTM
17,4.45598984941199,11,compressed,LSTM
17,3.98692462322087,12,compressed,LSTM
17,3.32588199462833,13,compressed,LSTM
17,3.9028399042868,14,compressed,LSTM
17,4.69826106619356,15,compressed,LSTM
17,4.43436123986397,16,compressed,LSTM
18,2.62546932676583,0,compressed,LSTM
18,1.94349801133483,1,compressed,LSTM
18,4.50154699750416,2,compressed,LSTM
18,3.70239485689471,3,compressed,LSTM
18,3.34881236910628,4,compressed,LSTM
18,2.69644339572748,5,compressed,LSTM
18,4.25428368878431,6,compressed,LSTM
18,4.1800705764907,7,compressed,LSTM
18,3.53838006614385,8,compressed,LSTM
18,4.85946662176202,9,compressed,LSTM
18,2.41531059807235,10,compressed,LSTM
19,5.01688359336788,0,compressed,LSTM
20,3.86511906651388,0,compressed,LSTM
20,2.79898925148602,1,compressed,LSTM
20,3.36560195580945,2,compressed,LSTM
20,3.24695671588197,3,compressed,LSTM
20,2.86664042210009,4,compressed,LSTM
20,4.69899594384979,5,compressed,LSTM
21,3.64353876861796,0,compressed,LSTM
21,3.32241305379975,1,compressed,LSTM
21,3.25758397407583,2,compressed,LSTM
21,4.44377531608107,3,compressed,LSTM
21,5.14303175509139,4,compressed,LSTM
21,3.93211223318816,5,compressed,LSTM
21,2.97620006192594,6,compressed,LSTM
21,6.24728520522867,7,compressed,LSTM
21,5.0632077110508,8,compressed,LSTM
21,3.09702072449572,9,compressed,LSTM
